descriptor s_test R_test Z_test
0.42	0.810478	0.043951	0.226513	-0.71236	-0.205017
0.425	0.80561	0.0450912	0.230075	-0.71808	-0.208406
0.43	0.800746	0.046249	0.233666	-0.72388	-0.211824
0.435	0.795886	0.0474243	0.237285	-0.729761	-0.21527
0.44	0.79103	0.0486173	0.240934	-0.735725	-0.218745
0.445	0.786179	0.0498282	0.244612	-0.741774	-0.222248
0.45	0.781333	0.0510571	0.248321	-0.747909	-0.225781
0.455	0.776491	0.0523041	0.252061	-0.754133	-0.229344
0.46	0.771653	0.0535694	0.255831	-0.760447	-0.232936
0.465	0.766821	0.054853	0.259634	-0.766853	-0.236559
0.47	0.761994	0.0561552	0.263468	-0.773353	-0.240211
0.475	0.757171	0.057476	0.267335	-0.779949	-0.243895
0.48	0.752354	0.0588156	0.271234	-0.786643	-0.247609
0.485	0.747542	0.0601741	0.275168	-0.793438	-0.251355
0.49	0.742736	0.0615517	0.279135	-0.800335	-0.255132
0.495	0.737935	0.0629486	0.283137	-0.807336	-0.258941
0.5	0.733139	0.0643648	0.287173	-0.814445	-0.262783
0.505	0.72835	0.0658005	0.291245	-0.821663	-0.266657
0.51	0.723566	0.0672559	0.295354	-0.828993	-0.270564
0.515	0.718789	0.0687311	0.299499	-0.836436	-0.274504
0.52	0.714018	0.0702263	0.303681	-0.843997	-0.278477
0.525	0.709253	0.0717416	0.307901	-0.851676	-0.282484
0.53	0.704495	0.0732772	0.312159	-0.859477	-0.286526
0.535	0.699743	0.0748332	0.316457	-0.867402	-0.290602
0.54	0.694998	0.0764098	0.320794	-0.875454	-0.294713
0.545	0.69026	0.0780071	0.325171	-0.883636	-0.298859
0.55	0.685529	0.0796254	0.329589	-0.891951	-0.303041
0.555	0.680805	0.0812647	0.334049	-0.900401	-0.307258
0.56	0.676089	0.0829253	0.338551	-0.908989	-0.311512
0.565	0.671381	0.0846074	0.343096	-0.917719	-0.315803
0.57	0.66668	0.086311	0.347684	-0.926593	-0.320131
0.575	0.661987	0.0880363	0.352317	-0.935615	-0.324496
0.58	0.657302	0.0897836	0.356995	-0.944788	-0.328898
0.585	0.652626	0.0915531	0.361719	-0.954115	-0.333339
0.59	0.647958	0.0933448	0.36649	-0.9636	-0.337819
0.595	0.643299	0.0951589	0.371308	-0.973245	-0.342337
0.6	0.638648	0.0969958	0.376174	-0.983055	-0.346895
0.605	0.634007	0.0988554	0.381089	-0.993033	-0.351492
0.61	0.629375	0.100738	0.386055	-1.00318	-0.356129
0.615	0.624752	0.102644	0.391071	-1.01351	-0.360807
0.62	0.62014	0.104573	0.396138	-1.02401	-0.365526
0.625	0.615537	0.106526	0.401258	-1.0347	-0.370285
0.63	0.610944	0.108503	0.406432	-1.04557	-0.375087
0.635	0.606362	0.110503	0.411659	-1.05664	-0.37993
0.64	0.60179	0.112528	0.416943	-1.06789	-0.384816
0.645	0.597229	0.114578	0.422282	-1.07935	-0.389744
0.65	0.59268	0.116651	0.427679	-1.09101	-0.394715
0.655	0.588141	0.11875	0.433134	-1.10288	-0.39973
0.66	0.583615	0.120874	0.438648	-1.11496	-0.404788
0.665	0.5791	0.123022	0.444223	-1.12726	-0.409891
0.67	0.574598	0.125196	0.449859	-1.13978	-0.415038
0.675	0.570107	0.127396	0.455558	-1.15252	-0.42023
0.68	0.56563	0.129622	0.461321	-1.16549	-0.425468
0.685	0.561166	0.131874	0.467148	-1.1787	-0.430751
0.69	0.556715	0.134152	0.473042	-1.19214	-0.436079
0.695	0.552278	0.136456	0.479003	-1.20583	-0.441454
0.7	0.547854	0.138787	0.485032	-1.21977	-0.446875
0.705	0.543445	0.141145	0.491131	-1.23396	-0.452343
0.71	0.539051	0.143531	0.4973	-1.24841	-0.457858
0.715	0.534672	0.145943	0.503542	-1.26312	-0.463419
0.72	0.530307	0.148384	0.509858	-1.2781	-0.469029
0.725	0.525959	0.150852	0.516248	-1.29335	-0.474686
0.73	0.521627	0.153348	0.522715	-1.30888	-0.480391
0.735	0.517311	0.155872	0.52926	-1.3247	-0.486143
0.74	0.513012	0.158425	0.535883	-1.3408	-0.491944
0.745	0.50873	0.161007	0.542587	-1.35719	-0.497793
0.75	0.504466	0.163618	0.549373	-1.37389	-0.50369
0.755	0.500219	0.166258	0.556242	-1.39088	-0.509635
0.76	0.495992	0.168927	0.563197	-1.40818	-0.515629
0.765	0.491783	0.171627	0.570238	-1.4258	-0.521671
0.77	0.487593	0.174356	0.577367	-1.44373	-0.52776
0.775	0.483424	0.177115	0.584585	-1.46198	-0.533898
0.78	0.479274	0.179905	0.591895	-1.48056	-0.540084
0.785	0.475145	0.182725	0.599298	-1.49947	-0.546317
0.79	0.471038	0.185576	0.606795	-1.51871	-0.552597
0.795	0.466952	0.188458	0.614389	-1.53829	-0.558924
0.8	0.462889	0.191372	0.62208	-1.55821	-0.565297
0.805	0.458849	0.194317	0.629871	-1.57848	-0.571716
0.81	0.454831	0.197294	0.637764	-1.5991	-0.578181
0.815	0.450838	0.200303	0.645759	-1.62007	-0.58469
0.82	0.44687	0.203344	0.65386	-1.64139	-0.591243
0.825	0.442926	0.206418	0.662067	-1.66307	-0.59784
0.83	0.439008	0.209525	0.670382	-1.68511	-0.604478
0.835	0.435116	0.212664	0.678808	-1.7075	-0.611157
0.84	0.431252	0.215836	0.687345	-1.73026	-0.617877
0.845	0.427415	0.219042	0.695996	-1.75338	-0.624635
0.85	0.423606	0.222281	0.704763	-1.77686	-0.63143
0.855	0.419826	0.225554	0.713648	-1.8007	-0.638261
0.86	0.416076	0.228861	0.722651	-1.8249	-0.645126
0.865	0.412356	0.232202	0.731776	-1.84946	-0.652024
0.87	0.408667	0.235577	0.741023	-1.87436	-0.658952
0.875	0.40501	0.238987	0.750395	-1.89962	-0.665908
0.88	0.401385	0.242431	0.759893	-1.92523	-0.672891
0.885	0.397794	0.24591	0.769519	-1.95117	-0.679896
0.89	0.394237	0.249424	0.779275	-1.97745	-0.686923
0.895	0.390715	0.252973	0.789162	-2.00405	-0.693968
0.9	0.387228	0.256557	0.799182	-2.03096	-0.701028
0.905	0.383778	0.260176	0.809337	-2.05819	-0.708101
0.91	0.380366	0.26383	0.819628	-2.0857	-0.715181
0.915	0.376992	0.26752	0.830057	-2.1135	-0.722267
0.92	0.373657	0.271246	0.840624	-2.14156	-0.729353
0.925	0.370362	0.275006	0.851332	-2.16987	-0.736436
0.93	0.367108	0.278803	0.862181	-2.19841	-0.743512
0.935	0.363896	0.282635	0.873173	-2.22717	-0.750575
0.94	0.360727	0.286502	0.884309	-2.25612	-0.757621
0.945	0.357601	0.290405	0.89559	-2.28523	-0.764645
0.95	0.354521	0.294343	0.907016	-2.31449	-0.771641
0.955	0.351486	0.298317	0.918588	-2.34387	-0.778604
0.96	0.348498	0.302326	0.930308	-2.37333	-0.785527
0.965	0.345558	0.30637	0.942174	-2.40284	-0.792405
0.97	0.342667	0.310449	0.954188	-2.43238	-0.799231
0.975	0.339825	0.314563	0.96635	-2.4619	-0.805997
0.98	0.337035	0.318712	0.97866	-2.49137	-0.812697
0.985	0.334296	0.322895	0.991117	-2.52074	-0.819324
0.99	0.33161	0.327113	1.00372	-2.54998	-0.825869
0.995	0.328978	0.331364	1.01647	-2.57904	-0.832325
1	0.326401	0.335649	1.02937	-2.60788	-0.838684
